match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1999-7,1999,Group A,7,1999-05-18,"St Lawrence Ground, Canterbury",England,Kenya,203,10,49.4,England,204,1,39.0,England,9 wickets,England
ODIWC-1999-8,1999,Group A,8,1999-05-19,"Grace Road, Leicester",England,Zimbabwe,252,9,50.0,India,249,10,45.0,Zimbabwe,3 runs,India
ODIWC-1999-9,1999,Group A,9,1999-05-19,"County Ground, Northampton",England,South Africa,199,9,50.0,Sri Lanka,110,10,35.2,South Africa,89 runs,Sri Lanka
ODIWC-1999-10,1999,Group B,10,1999-05-20,"Sophia Gardens, Cardiff",England,Australia,213,8,50.0,New Zealand,214,5,45.2,New Zealand,5 wickets,Australia
ODIWC-1999-11,1999,Group B,11,1999-05-20,"Riverside Ground, Chester-le-Street",England,Pakistan,261,6,50.0,Scotland,167,10,38.5,Pakistan,94 runs,Scotland
ODIWC-1999-12,1999,Group B,12,1999-05-21,"Clontarf Cricket Club Ground, Dublin",Ireland,Bangladesh,182,10,49.2,West Indies,183,3,46.3,West Indies,7 wickets,Bangladesh
ODIWC-1999-13,1999,Group A,13,1999-05-22,"Kennington Oval, London",England,South Africa,225,7,50.0,England,103,10,41.0,South Africa,122 runs,England
ODIWC-1999-14,1999,Group A,14,1999-05-22,"County Ground, New Road, Worcester",England,Zimbabwe,197,9,50.0,Sri Lanka,198,6,46.0,Sri Lanka,4 wickets,Sri Lanka
ODIWC-1999-15,1999,Group A,15,1999-05-23,"County Ground, Bristol",England,India,329,2,50.0,Kenya,235,7,50.0,India,94 runs,Kenya
ODIWC-1999-16,1999,Group B,16,1999-05-23,"Headingley, Leeds",England,Pakistan,275,8,50.0,Australia,265,10,49.5,Pakistan,10 runs,Australia
ODIWC-1999-17,1999,Group B,17,1999-05-24,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Bangladesh,185,9,50.0,Scotland,163,10,46.2,Bangladesh,22 runs,Scotland
ODIWC-1999-18,1999,Group B,18,1999-05-24,"County Ground, Southampton",England,New Zealand,156,10,48.1,West Indies,158,3,44.2,West Indies,7 wickets,West Indies
ODIWC-1999-19,1999,Group A,19,1999-05-25,"Trent Bridge, Nottingham",England,Zimbabwe,167,8,50.0,England,168,3,38.3,England,7 wickets,England
ODIWC-1999-20,1999,Group A,20,1999-05-26,"VRA Ground, Amstelveen",Netherlands,Kenya,152,10,44.3,South Africa,153,3,41.0,South Africa,7 wickets,South Africa
